ID	Use	Description
95	Soil reclamation	Plants that can be grown in such circumstances an the spoil tips of mines in order to restore fertility.
96	Soil stabilization	Plants that can be grown in places such as sand dunes in order to prevent erosion by wind, water or other agents.
97	Starch	Used as a fabric stiffener.
98	Straw	For drinking with.
99	Strewing	Plants, usually aromatic, that are strewn on the floor to give a nice smell, repel insects etc.
100	String	Plants that can be used as they are as a temporary string or can be easily made into a string. See also Fibre.
101	Stuffing	Used in making soft toys, mattresses, pillows etc.
102	Tannin	An astringent substance obtaied from plants, it is used medicinally, as a dye and mordant, stabilizer in pesticide etc.
103	Teeth	Plants used to clean and care for the teeth.
104	Thatching	Used for making thatched roofs.
105	Tinder	Used for starting fires. See also Kindling.
106	Varnish	Plants that can be used as a varnish without any special treatment. Does not include varnishes made from oils etc.
107	Waterproofing	Does what it says. See also Pitch and Oil.
108	Wax	Used for making candles etc.
109	Waxed paper	Substitutes that is.
110	Weather forecasting	A few plants that are supposed to help us forecast the weather.
111	Weather protection	Plants that can be used to give the body protection from severe weather.
112	Weaving	Items such as grass and palm leaves that are woven together for making mats, baskets etc. See also Basket making and Fibre.
113	Wick	Used as a wick for candles, lamps etc.
114	Wood	A list of the trees and shrubs that are noted for having useful wood.
