ID	latinname	Author	TrueLatinName	Notes	PullOut
99	Acanthopanax japonicus	Franch.&Sav.	Eleutherococcus japonicus		0
100	Acanthopanax pentaphyllus	(Siebold.&Zucc.)Marchal.	Eleutherococcus sieboldianus		0
101	Acanthopanax ricinifolium	(Siebold.&Zucc.)Seem.	Kalopanax septemlobus		0
102	Acanthopanax sciadophylloides	Franch.&Sav.	Kalopanax sciadophylloides		0
103	Acanthopanax senticosus	(Rupr.&Maxim.)Harms.	Eleutherococcus senticosus		0
104	Acanthopanax sessiliflorus	(Rupr.&Maxim.)Seem.	Eleutherococcus sessiliflorus		0
105	Acanthopanax spinosus	(L.f.)Miq.	Eleutherococcus spinosus		0
106	Acanthopanax spinosus	Hort. non (L.f.)Miq.	Eleutherococcus sieboldianus		0
107	Acanthopanax trifoliatus	(L.)Voss.	Eleutherococcus trifoliatus		0
108	Acanthus latifolius	Hort. ex Goeze.	Acanthus mollis		0
109	Acanthus mollis	L.			0
110	Acapillaris scoparia	0	Artemisia scoparia		0
111	Acca sellowiana	(O.Berg.)Burret.			0
112	Acer acuminatum	Wall.			0
113	Acer argutum	Maxim.			0
114	Acer caesium	Wall.			0
115	Acer campestre	L.			0
116	Acer carpinifolium	Siebold.&Zucc.			0
117	Acer caudatum	Wall. ex Rehder.	Acer ukurunduense caudatum		0
118	Acer caudatum	Wall. pro parte.	Acer acuminatum		0
119	Acer circinatum	Pursh.			0
120	Acer crataegifolium	Siebold.&Zucc.			0
121	Acer dasycarpum	Ehrh.	Acer saccharinum		0
122	Acer distylum	Siebold.&Zucc.			0
123	Acer eriocarpum	Michx.	Acer saccharinum		0
124	Acer ginnala	Maxim.			0
125	Acer glabrum	Torr.			0
126	Acer grandidentatum	Nutt.	Acer saccharum grandidentatum		0
127	Acer interius	Britton.			0
128	Acer macrophyllum	Pursh.			0
129	Acer mono	Maxim.			0
130	Acer negundo	L.			0
131	Acer negundo interius	(Britton.)Sarg.	Acer interius		0
132	Acer nigrum	Michx.	Acer saccharum nigrum		0
133	Acer oblongum	Wall. ex DC.			0
134	Acer palmatum	Thunb.			0
135	Acer pensylvanicum	L.			0
136	Acer pictum	Thunb. 1783, non Thunb. 1784	Kalopanax septemlobus		0
137	Acer pictum	Thunb. 1784, non Thunb. 1783	Acer mono		0
138	Acer platanoides	L.			0
139	Acer polymorphum	Siebold.&Zucc.	Acer palmatum		0
140	Acer pseudoplatanus	L.			0
141	Acer rubrum	L.			0
142	Acer saccharinum	L.			0
143	Acer saccharinum	Non L.	Acer saccharum		0
144	Acer saccharum	Marshall.			0
145	Acer saccharum grandidentatum	(Torr.&A.Gray.)Desmarais.			0
146	Acer saccharum nigrum	(Michx.)Desmarais.			0
147	Acer spicatum	Lam.			0
148	Acer sterculiaceum	Wall.			0
149	Acer tataricum	L.			0
150	Acer tataricum ginnala	(Maxim.)Wesm.	Acer ginnala		0
151	Acer truncatum	Bunge.			0
152	Acer ukurunduense caudatum	(Wall.)DeJong.			0
153	Acer villosum	Wall.	Acer sterculiaceum		0
154	Achillea ageratum	L.			0
155	Achillea alpina	L.	Achillea sibirica		0
156	Achillea decolorans	Schrad.	Achillea ageratum		0
157	Achillea erba-rotta moschata	(Wulfen.)I.Richardson.			0
158	Achillea lanulosa	Nutt.	Achillea millefolium		0
159	Achillea millefolium	L.			0
160	Achillea mongolica	Fisch.	Achillea sibirica		0
161	Achillea moschata	Wulfen.	Achillea erba-rotta moschata		0
162	Achillea ptarmica	L.			0
163	Achillea santolina	L.			0
164	Achillea serrata	Hort.	Achillea ageratum		0
165	Achillea sibirica	Ledeb.			0
166	Achnatherum hymenoides	(Roem.&Schult.)Barkworth.			0
167	Achyranthes aspera	L.			0
168	Achyranthes bidentata	Blume.			0
169	Achyranthes faureri	Léveille.&Vahiot.			0
170	Acinos alpinus	(L.)Moench.			0
171	Acinos arvensis	(Lam.)Dandy.			0
172	Acinos forminii	Roussine.	Acinos rotundifolius		0
173	Acinos graveolens	(Bieb.)Link.	Acinos rotundifolius		0
174	Acinos rotundifolius	Pers.			0
175	Acinos thymoides	Moench.	Acinos arvensis		0
176	Aciphylla colensoi	Hook.			0
177	Aciphylla squarrosa	J.R.Forst.&G.Forst.			0
178	Aconitum balfourii	Stapf.			0
179	Aconitum carmichaelii	Debeaux.			0
180	Aconitum chasmanthum	Stapf.			0
181	Aconitum chinense	Siebold.&Zucc.			0
182	Aconitum columbianum	Nutt.			0
183	Aconitum delphinifolium	DC.			0
184	Aconitum dienorrhizum	Stapf.			0
185	Aconitum faurei	Léveille.&Vaniot.	Aconitum japonicum		0
186	Aconitum ferox	Wall.			0
187	Aconitum fischeri	Forbes.&Hemsl. non Rchb.	Aconitum carmichaelii		0
188	Aconitum fischeri	Rchb.			0
189	Aconitum gammiei	Stapf.			0
190	Aconitum hemsleyanum	E.Pritz.			0
191	Aconitum heterophyllum	Wall.			0
192	Aconitum japonicum	Thunb.			0
193	Aconitum komarovii	Steinb.	Aconitum koreanum		0
194	Aconitum koreanum	Raymond.			0
195	Aconitum kusnezoffii	Rchb.			0
196	Aconitum lycoctonum	L.			0
197	Aconitum lycoctonum vulparia	(Rchb.)Nyman.			0
198	Aconitum maximum	Pall. ex DC.			0
199	Aconitum mokchangense	Nakai.			0
200	Aconitum multifidum	Koch.			0
201	Aconitum napellus	L.			0
202	Aconitum orientale	Mill.			0
203	Aconitum palmatum	D.Don.			0
204	Aconitum rotundifolium	Kar.&Kir.			0
205	Aconitum septentrionale	Koelle.			0
206	Aconitum uncinatum	L.			0
207	Aconitum violaceum	Jacq.			0
208	Aconitum volubile	Pall.			0
209	Aconitum vulparia	Rchb.	Aconitum lycoctonum vulparia		0
210	Aconogonum divaricatum	(L.)Nakai.	Polygonum divaricatum		0
211	Aconogonum molle	(D.Don.)Hara.	Polygonum molle		0
212	Aconogonum polymorpha	(Nakai.)Nakai.	Polygonum polymorphum		0
213	Aconogonum rumicifolium	(Royle.)Hara.	Polygonum rumicifolium		0
214	Aconogonum weyrichii	(F. F.Schmidt.)Nakai.	Polygonum weyrichii		0
215	Acorus calamus	L.			0
216	Acorus gramineus	Sol. ex Aiton.			0
217	Acourtia microcephala	DC.			0
218	Acrotriche aggregata	R.Br.			0
219	Acrotriche depressa	R.Br.			0
220	Acrotriche prostrata	F.Muell.			0
221	Acrotriche serrulata	R.Br.			0
222	Actaea alba	(L.)Mill.	Actaea pachypoda		0
223	Actaea arguta	Nutt.	Actaea rubra		0
224	Actaea cimicifuga	L.	Cimicifuga foetida		0
225	Actaea dahurica	(Turcz. ex Fisch.&C.A.Mey.)Franch.	Cimicifuga dahurica		0
226	Actaea pachypoda	Elliott.			0
227	Actaea racemosa	L.	Cimicifuga racemosa		0
228	Actaea rubra	(Aiton.)Willd.			0
229	Actaea simplex	(DC.)Wormsk. ex Prantl.	Cimicifuga simplex		0
230	Actaea spicata	L.			0
231	Actinea acaulis arizonica	(Greene.)Blake.			0
232	Actinea richardsonii	(Hook.) Kuntze.	Hymenoxys richardsonii		0
233	Actinidia arguta	(Siebold.&Zucc.)Planch. ex Miq.			0
234	Actinidia arguta cordifolia	(Miq.)Bean.			0
235	Actinidia arguta rufa	(Siebold.&Zucc.)Maxim.			0
236	Actinidia arisanensis	Hayata.			0
237	Actinidia asymmetrica	F.Chun.			0
238	Actinidia callosa	Dunn. non Lindl.	Actinidia venosa		0
239	Actinidia callosa	Lindl.			0
240	Actinidia callosa coriacea	Finet.&Gagnep.	Actinidia coriacea		0
241	Actinidia callosa formosana	Finet.&Gagnep.			0
242	Actinidia callosa henryi	Maxim.			0
243	Actinidia callosa indochinensis	(Merril.)New name.			0
244	Actinidia callosa pilosula	Finet.&Gagnep.	Actinidia pilosula		0
245	Actinidia callosa pubescens	Dunn.			0
246	Actinidia callosa sabiaefolia	Dunn.	Actinidia sabiaefolia		0
247	Actinidia callosa trichogyna	Finet.&Gagnep.	Actinidia trichogyna		0
248	Actinidia callosa typica	Dunn.	Actinidia callosa henryi		0
249	Actinidia championi	Benth.	Actinidia latifolia		0
250	Actinidia charta	0	Actinidia purpurea		0
251	Actinidia chinensis	Planch.			0
252	Actinidia chinensis deliciosa	(A.Chev.)A.Chev.	Actinidia deliciosa		0
253	Actinidia cordifolia	Miq.	Actinidia arguta cordifolia		0
254	Actinidia coriacea	(Finet.&Gagnep.)Dunn.			0
255	Actinidia curvidens	Dunn.	Actinidia callosa henryi		0
256	Actinidia davidii	Franch.	Actinidia eriantha		0
257	Actinidia deliciosa	(A.Chev.)C.F.Liang.& A.R.Ferguson.			0
258	Actinidia dielsii	Lév.	Actinidia fortunatii		0
259	Actinidia eriantha	Benth.			0
260	Actinidia formosana	Hayata.	Actinidia callosa formosana		0
261	Actinidia fortunatii	Finet.&Gagnep.			0
262	Actinidia fulvicoma	Hance.			0
263	Actinidia gagnepainii	Nakai.	Actinidia kolomikta gagnepainii		0
264	Actinidia giraldii	Diels.			0
265	Actinidia glabra	Sp. nov.			0
266	Actinidia glaucophylla	F.Chun.	Actinidia fortunatii		0
267	Actinidia gnaphalocarpa	Hayata.	Actinidia latifolia		0
268	Actinidia hemsleyana	Dunn.			0
269	Actinidia henryi	Dunn.			0
270	Actinidia holotricha	Finet.&Gagnep.			0
271	Actinidia hypoleuca	Nakai.			0
272	Actinidia indochinensis	Merril.	Actinidia callosa indochinensis		0
273	Actinidia japonica	Nakai.	Actinidia hypoleuca		0
274	Actinidia kengiana	Metcalf.	Actinidia hemsleyana		0
275	Actinidia kiusiana	Koidz.			0
276	Actinidia kolomikta	(Maxim.&Rupr.)Maxim.			0
277	Actinidia kolomikta gagnepainii	(Nak)New name.			0
278	Actinidia kwangsiensis	Sp. nov.			0
279	Actinidia lanata	Hemsl.	Actinidia eriantha		0
280	Actinidia lanceolata	Dunn.			0
281	Actinidia latifolia	(Gardn.&Champ.)Merr.			0
282	Actinidia lecomtei	Nakai	Actinidia polygama lecomtei		0
283	Actinidia longicauda	F.Chun.			0
284	Actinidia maloides	Sp. nov.			0
285	Actinidia megalocarpa	Nakai.	Actinidia arguta		1
286	Actinidia megalocarpa.	Nakai.	Actinidia giraldii		1
287	Actinidia melanandra	Finet.&Gagnep. non Franch.	Actinidia polygama lecomtei		1
288	Actinidia melanandra	Franch.			0
289	Actinidia melanandra latifolia	E.E.Pritz. ex Diels.	Actinidia purpurea		0
290	Actinidia melanandra.	Finet.&Gagnep. non Franch.	Actinidia hypoleuca		1
291	Actinidia melliana	Hand-Mazz.			0
292	Actinidia miquelii	King.	Actinidia latifolia		0
293	Actinidia petelotii	Diels.			0
294	Actinidia pilosula	(Finet.&Gagnep.)Stapf. ex Hand-Mazz.			0
295	Actinidia platyphylla	A.Gray.	Actinidia arguta cordifolia		0
296	Actinidia polygama	(Siebold.&Zucc.)Maxim.			0
297	Actinidia polygama lecomtei	(Nakai.)New name.			0
298	Actinidia pubescens	Ridley.	Actinidia callosa pubescens		0
299	Actinidia purpurea	Rehder.			0
300	Actinidia rankanensis	Hayata.	Actinidia arisanensis		0
301	Actinidia remoganensis	Hayata.	Actinidia arisanensis		0
302	Actinidia rubricaulis	Dunn 1911 non Dunn 1906.	Actinidia tetramera		0
303	Actinidia rubricaulis	Dunn.			0
304	Actinidia rubus	Lév.			0
305	Actinidia rudis	Dunn.			0
306	Actinidia rufa	(Siebold.&Zucc.)Planch.	Actinidia arguta rufa		0
307	Actinidia rufa arguta	Dunn.	Actinidia purpurea		0
308	Actinidia rufa cordifolia	Dunn.	Actinidia arguta cordifolia		0
309	Actinidia rufa dulcisisma	Koidz.	Actinidia arguta cordifolia		0
310	Actinidia rufa parvifolia	Dunn.	Actinidia melanandra		0
311	Actinidia rufa typica	Dunn.	Actinidia purpurea		0
312	Actinidia sabiaefolia	Dunn.			0
313	Actinidia strigosa	Hook.f.&Thoms.			0
314	Actinidia subglaucifolia	Metcalf.	Actinidia hemsleyana		0
315	Actinidia tetramera	Maxim.			0
316	Actinidia trichogyna	Franch.			0
317	Actinidia valvata	Dunn.			0
318	Actinidia venosa	Hand-Mazz. non Lindl.	Actinidia callosa henryi		0
319	Actinidia venosa	Rehder.			0
320	Actinidia volubilis	(Siebold.&Zucc.)Planch.	Actinidia polygama		0
321	Actinidia x fairchildii	Rehder.			0
322	Actinocarpus damasonium	R.Br.	Damasonium alisma		0
323	Acuan illinoensis	(Michx.)Kuntze.	Desmanthus illinoensis		0
324	Adelia acuminata	Michx.	Forestiera acuminata		0
325	Adelia neo-mexicana	(A.Gray.)Kuntze.	Forestiera neomexicana		0
326	Adendromeda adenothrix	Miq.	Gaultheria adenothrix		0
327	Adenophora communis	Fisch.	Adenophora liliifolia		0
328	Adenophora confusa	Nannf.	Adenophora stricta		0
329	Adenophora denticulata	Fisch.			0
330	Adenophora divaricata	Franch.&Sav.			0
331	Adenophora fischeri	0	Adenophora liliifolia		0
332	Adenophora lamarkii	Fisch.			0
333	Adenophora latifolia	Fisch.			0
334	Adenophora liliifolia	(L.)Besser.			0
335	Adenophora nikoensis	Franch.&Sav.			0
336	Adenophora pereskiaefolia	G.Don.	Adenophora latifolia		0
337	Adenophora polymorpha	Ledeb.	Adenophora nikoensis		0
338	Adenophora polymorpha divaricata	(Franch.&Sav.)Makino.	Adenophora divaricata		0
339	Adenophora remotiflora	(Siebold.&Zucc.)Miq.			0
340	Adenophora remotifolia	Miq.	Adenophora remotiflora		0
341	Adenophora stricta	Miq.			0
342	Adenophora tetraphylla	(Thunb.)Fisch.	Adenophora verticillata	Need to check this one = A. triphylla?	0
343	Adenophora tetraphylla	(Thunb.)Fisch. ex B.D.Jacks.	Adenophora triphylla		0
344	Adenophora tricuspidata	Fisch.	Adenophora denticulata		0
345	Adenophora triphylla	(Thunb.)A.DC.			0
346	Adenophora verticillata	(Pall.)Fisch.			0
347	Adenostoma fasciculatum	Hook.&Arn.			0
348	Adenostoma sparsifolium	Torr.			0
349	Adesmia lotoides	Hook.f.			0
350	Adiantum capillus-veneris	L.			0
351	Adiantum pedatum	L.			0
352	Adiantum venustum	D.Don.			0
353	Adina rubella	Hance.			0
354	Adonis aestivalis	L.			0
355	Adonis amurensis	Regel.&Radde.			0
356	Adonis vernalis	L.			0
357	Aegilops speltoides	Tausch.			0
358	Aegilops squarrosa	L.	Aegilops triuncialis		0
359	Aegilops triuncialis	L.			0
360	Aegle sepiaria	DC.	Poncirus trifoliata		0
361	Aegopodium alpestre	Ledeb.			0
362	Aegopodium podagraria	L.			0
363	Aesculus californica	(Spach.)Nutt.			0
364	Aesculus chinensis	Bunge.			0
365	Aesculus flava	Sol.			0
366	Aesculus glabra	Willd.			0
367	Aesculus hippocastanum	L.			0
368	Aesculus indica	(Wall. ex Camb.)Hook.			0
369	Aesculus lutea	Wangenh.	Aesculus flava		0
370	Aesculus macrostachya	Michx.	Aesculus parviflora		0
371	Aesculus octandra	Marshall.	Aesculus flava		0
372	Aesculus parviflora	Walter.			0
373	Aesculus pavia	L.			0
374	Aesculus turbinata	Blume.			0
375	Aesculus x carnea	Hayne.			0
376	Aethusa cynapium	L.			0
377	Aethusa mutellina	0	Ligusticum mutellina		0
378	Agalinis tenuifolia	(Vahl.)Raf.			0
379	Agapanthus africanus	(L.)Hoffman.			0
380	Agapanthus campanulatus	F.M.Leight.			0
381	Agapanthus praecox minimus	(Lindl.)F.M.Leight.			0
382	Agapanthus umbellatus	L'Hér.	Agapanthus africanus		0
383	Agastache anethiodorum	(Nutt.)Britton.	Agastache foeniculum		0
384	Agastache cana	(Hook.)Wooton.&Standl.			0
385	Agastache foeniculum	(Pursh.)Kuntze.			0
386	Agastache glaucifolia	0	Agastache urticifolia		0
387	Agastache mexicana	(Kunth.)Link.&Epling.			0
388	Agastache neomexicana	(Briq.) Standl.			0
389	Agastache pallidiflora neomexicana	(Briq.)R.W.Sanders.	Agastache neomexicana		0
390	Agastache rugosa	(Fisch.&C.A.Mey.)Kuntze.			0
391	Agastache urticifolia	(Benth.)Kuntze.			0
392	Agathis brownii	0	Agathis robusta		0
393	Phalaris japonica	Steud.	Phalaris arundinacea		0
394	Agathis robusta	(C.Moore. ex F.Muell.)F.M.Bailey.			0
395	Agave americana	L.			0
396	Agave parryi	Engelm.			0
397	Agave utahensis discreta	Engelm.			0
398	Agave utahensis eborispina	(Hester.)Breitung.			0
399	Ageratina altissima	(L.)R.M.King.&H.Rob.			0
400	Ageratina aromatica	(L.)Spach.			0
401	Ageratina herbacea	(A.Gray.)R.M.King.&H.Rob.			0
402	Ageratina ligustrina	(DC.)R.M.King.&H.Rob.			0
403	Ageratina occidentalis	(Hook.)R.M.King.&H.Rob.			0
404	Ageratina rugosum	0			0
405	Ageratum caeruleum	Hort.	Ageratum houstonianum		0
406	Ageratum conyzoides	L.			0
407	Ageratum houstonianum	Mill.			0
408	Ageratum mexicanum	Sims.	Ageratum houstonianum		0
409	Agoseris aurantiaca	(Hook.)Greene.			0
410	Agoseris glauca	(Pursh.)Raf.			0
411	Agoseris villosa	Rydb.	Agoseris glauca		0
412	Agrimonia dahurica	Willd.	Agrimonia pilosa		0
413	Agrimonia eupatoria	L.			0
414	Agrimonia odorata	(Gouan.)Mill.	Agrimonia eupatoria	A synonym of A. procera or A repens in 200. A distinct species in 17	0
415	Agrimonia parviflora	Aiton.			0
416	Agrimonia pilosa	Ledeb.			0
417	Agrimonia striata	Michx.			0
418	Agriophyllum gobicum	Bunge.	Agriophyllum squarrosum		0
419	Agropyron elongatum	(Host.)Beauv.			0
420	Agropyron repens	(L.)Beauv.	Elytrigia repens		0
421	Agrostemma githago	L.			0
422	Agrostis cryptandra	Torr.	Sporobolus cryptandrus		0
423	Agrostis latifolia	Trevir.	Cinna latifolia		0
424	Agrostis perennans	(Walter.)Tuckerm.			0
425	Ailanthus altissima	(Mill.)Swingle.			0
426	Ailanthus flavescens	0	Toona sinensis		0
427	Ailanthus glandulosa	Desf.	Ailanthus altissima		0
428	Aira caespitosa	L.	Deschampsia caespitosa		0
429	Aira cristata	L.	Koeleria macrantha		0
430	Aira spicata	L.	Trisetum spicatum		0
431	Aizoon canariense	L.			0
432	Ajuga australis	R.Br.			0
433	Ajuga bracteosa	Wall. ex Benth.			0
434	Ajuga chamaepitys	(L.)Schreb.			0
435	Ajuga decumbens	Thunb.			0
436	Ajuga iva	(L.)Schreb.			0
437	Ajuga reptans	L.			0
438	Akebia lobata	Decne.	Akebia trifoliata		0
439	Akebia quinata	(Thunb.)Decne.			0
440	Akebia trifoliata	(Thunb.)Koidz.			0
441	Akebia x pentaphylla	Makino.			0
442	Alangium begoniifolium	(Roxb.)Baill.	Alangium chinense		0
443	Alangium chinense	(Lour.)Harms.			0
444	Alangium platanifolium	(Siebold.&Zucc.)Harms.			0
445	Albizia julibrissin	Durazz.			0
446	Albuca amboensis	(Schinz.)Oberm.			0
447	Albuca canadensis	(L.)F.M.Leight.			0
448	Albuca major	L.			0
449	Alcea rosea	L.			0
450	Alchemilla alpina	L.			0
451	Alchemilla speciosa	Buser.	Alchemilla xanthochlora		0
452	Alchemilla vulgaris	hort.	Alchemilla xanthochlora		0
453	Alchemilla xanthochlora	Rothm.			0
454	Aletris farinosa	L.			0
455	Aletris japonica	Houtt.	Aletris spicata		0
456	Aletris spicata	(Thunb.)Franch.			0
457	Aleurites cordata	(Thunb.)Steud.			0
458	Aleurites fordii	Hemsl.			0
459	Alhagi camelorum	Fisch.	Alhagi maurorum		0
460	Alhagi mannifera	Desv.			0
461	Alhagi maurorum	Medik.			0
462	Alhagi persarum	Boiss.&Buhse.	Alhagi maurorum		0
463	Alhagi pseudalhagi	(M.Bieb.)Desv. ex B.Keller.&Shap.	Alhagi maurorum		0
464	Alisma canaliculatum	A.Braun.&C.D.Bouché			0
465	Alisma parviflorum	Pursh.	Alisma plantago-aquatica		0
466	Alisma plantago angustifolium	non Kunth.	Alisma canaliculatum		0
467	Alisma plantago canaliculatum	0	Alisma canaliculatum		0
468	Alisma plantago-aquatica	L.			0
469	Alisma subcordatum	Raf.	Alisma plantago-aquatica		0
470	Alisma triviale	Pursh.	Alisma plantago-aquatica		0
471	Alkanna tinctoria	(L.)Taush.			0
472	Alkanna tuberculata	(Forssk.)Meikle.	Alkanna tinctoria		0
473	Alliaria officinalis	Andrz. ex M.Bieb.	Alliaria petiolata		0
474	Alliaria petiolata	(M.Bieb.)Cavara.&Grande.			0
475	Allium acuminatum	Hook.			0
476	Allium aflatunense	B. Fedtsch.			0
477	Allium akaka	Gmel.			0
478	Allium albanum	Grossh.	Allium rubellum		0
479	Allium altaicum	Pall.			0
480	Allium ampeloprasum	L.			0
481	Allium ampeloprasum babbingtonii	(Borrer.)Syme.			0
482	Allium ampeloprasum porrum	(L.)J.Gay.	Allium porrum		0
483	Allium anceps	Kellog.	Allium platycaule		0
484	Allium angulare	Pall.			0
485	Allium angulosum	L.			0
486	Allium ascalonicum	Auct. non L.	Allium cepa ascalonicum		0
487	Allium atropurpureum	Waldst.&Kit.			0
488	Allium babbingtonii	Borrer.	Allium ampeloprasum babbingtonii		0
489	Allium bakeri	Regel.	Allium chinense		0
490	Allium bisceptrum	Watson.			0
491	Allium bodeanum	Regel.			0
492	Allium bolanderi	Watson.			0
493	Allium brevistylum	Watson.			0
494	Allium canadense	L.			0
495	Allium canadense mobilense	(Regel.)F.M.Ownb.			0
496	Allium carinatum	L.			0
497	Allium carolinianum	DC.			0
498	Allium cepa	L.			0
499	Allium cepa aggregatum	G.Don.			0
500	Allium cepa ascalonicum	Invalid name			0
501	Allium cepa proliferum	(Moench) Regel.			0
502	Allium cepa viviparum	(Metzg.)Alef.	Allium cepa proliferum		0
503	Allium cernuum	Roth.			0
504	Allium chinense	G.Don.			0
505	Allium condensatum	Turcz.			0
506	Allium cupanii	Raf.			0
507	Allium deserticola	(Jones)Woot. & Standl.	Allium macropetalum		0
508	Allium douglasii	Hook.			0
509	Allium dregeanum	Kunth.			0
510	Allium drummondii	Regel.			0
511	Allium elatum	Regel.	Allium macleanii		0
512	Allium fistulosum	L.			0
513	Allium flavum	L.			0
514	Allium fragrans	Vent.	Nothoscordum gracile		0
515	Allium galanthum	Kar.&Kir.			0
516	Allium geyeri	Watson.			0
517	Allium giganteum	Regel.			0
518	Allium grandisceptrum	Davidson.	Allium unifolium		0
519	Allium grayi	Regel.			0
520	Allium hookeri	Thw.			0
521	Allium inodorum	non L.	Nothoscordum gracile		0
522	Allium kochii	Lange.	Allium vineale		0
523	Allium kunthii	G.Don.			0
524	Allium kurrat	Schweinf. ex K.Krause.			0
525	Allium latifolium	Jaub.&Spach.	Allium akaka		0
