ID	latin_name	pest
86	Allium sacculiferum	Rarely Damaged by deer
87	Allium sativum	Rarely Damaged by deer
88	Allium sativum ophioscorodon	Rarely Damaged by deer
89	Allium schoenoprasum	Rarely Damaged by deer
90	Allium scorodoprasum rotundum	Rarely Damaged by deer
91	Allium semenovii	Rarely Damaged by deer
92	Allium senescens	Rarely Damaged by deer
93	Allium sp.	Rarely Damaged by deer
94	Allium sp. 	Rarely Damaged by deer
95	Allium sphaerocephalon	Rarely Damaged by deer
96	Allium splendens	Rarely Damaged by deer
97	Allium stellatum	Rarely Damaged by deer
98	Allium stipitatum	Rarely Damaged by deer
99	Allium stracheyi	Rarely Damaged by deer
100	Allium suaveolens	Rarely Damaged by deer
101	Allium subhirsutum	Rarely Damaged by deer
102	Allium textile	Rarely Damaged by deer
103	Allium thunbergii	Rarely Damaged by deer
104	Allium tricoccum	Rarely Damaged by deer
105	Allium triquetrum	Rarely Damaged by deer
106	Allium tuberosum	Rarely Damaged by deer
107	Allium unifolium	Rarely Damaged by deer
108	Allium ursinum	Rarely Damaged by deer
109	Allium validum	Rarely Damaged by deer
110	Allium victorialis	Rarely Damaged by deer
111	Allium vineale	Rarely Damaged by deer
112	Allium wallichii	Rarely Damaged by deer
113	Amaranthus cruentus	leaf miner
114	Amelanchier arborea	Seldom Severely Damaged by deer
115	Amelanchier canadensis	Seldom Severely Damaged by deer
116	Amelanchier laevis	Seldom Severely Damaged by deer
117	Anchusa azurea	Seldom Severely Damaged by deer
118	Anchusa sp.	Seldom Severely Damaged by deer
119	Andromeda polifolia	Seldom Severely Damaged by deer
120	Andropogon sp.	Rarely Damaged by deer
121	Anemone x hybrida	Seldom Severely Damaged by deer
122	Anemonella thalictroides	Seldom Severely Damaged by deer
123	Anethum graveolens	Seldom Severely Damaged by deer
124	Anethumus graveolens	Seldom Severely Damaged by deer
125	Antirrhinum majus	Rarely Damaged by deer
126	Aquilegia sp.	Seldom Severely Damaged by deer
127	Arabis caucasica	Rarely Damaged by deer
128	Aralia spinosa	Rarely Damaged by deer
129	Arctostaphylos uva-ursi	Rarely Damaged by deer
130	Arisaema triphylum	Rarely Damaged by deer
131	Armeria maritima	Seldom Severely Damaged by deer
132	Armoracia rusticana	Rarely Damaged by deer
133	Armoracia unknown	Use a 5 year rotation to avoid Club Root and Root Maggots
134	Aronia arbutifolia	Seldom Severely Damaged by deer
135	Arrhenatherum elatius 	Rarely Damaged by deer
136	Artemisia dracunculoides	Rarely Damaged by deer
137	Artemisia dracunculus	Rarely Damaged by deer
138	Artemisia sp.	Rarely Damaged by deer
139	Aruncus sp. 	Occasionally Severely Damaged by deer
140	Arundo donax	Rarely Damaged by deer
141	Asarum canadense 	Rarely Damaged by deer
142	Asarum europaeum	Rarely Damaged by deer
143	Asarum europaeum	Rarely Damaged by deer
144	Asarum forbesii	Rarely Damaged by deer
145	Asarum maximum	Rarely Damaged by deer
146	Asarum reflexum	Rarely Damaged by deer
147	Asarum sieboldii	Rarely Damaged by deer
148	Asclepias incarnata	Seldom Severely Damaged by deer
149	Asclepias tuberosa	Seldom Severely Damaged by deer
150	Asimina triloba	Rarely Damaged by deer
151	Asparagus officinalis	Seldom Severely Damaged by deer
152	Aster sp. 	Seldom Severely Damaged by deer
153	Aster tripolium	Seldom Severely Damaged by deer
154	Astilbe sp. 	Seldom Severely Damaged by deer
155	Athyrium goeringianum (nipponicum)	Rarely Damaged by deer
156	Aubrietia deltoidea	Rarely Damaged by deer
157	Aucuba japonica	Seldom Severely Damaged by deer
158	Aurinia saxatilis	Rarely Damaged by deer
159	Bambusa multiplex	Seldom Severely Damaged by deer
160	Bambusa sp.	Seldom Severely Damaged by deer
161	Baptisia australis 	Rarely Damaged by deer
162	Begonia grandis evansiana	Occasionally Severely Damaged by deer
163	Begonia semperflorens	Occasionally Severely Damaged by deer
164	Begonia x tuberhybrida	Seldom Severely Damaged by deer
165	Bellis perennis	Occasionally Severely Damaged by deer
166	Berberis aggregata	Rarely Damaged by deer
167	Berberis angulosa	Rarely Damaged by deer
168	Berberis aristata	Rarely Damaged by deer
169	Berberis asiatica	Rarely Damaged by deer
170	Berberis buxifolia	Rarely Damaged by deer
171	Berberis canadensis	Rarely Damaged by deer
172	Berberis capillaris	Rarely Damaged by deer
173	Berberis cooperi	Rarely Damaged by deer
174	Berberis darwinii	Rarely Damaged by deer
175	Berberis georgii	Rarely Damaged by deer
176	Berberis lycium	Rarely Damaged by deer
177	Berberis parisepala	Rarely Damaged by deer
178	Berberis rubrostilla	Rarely Damaged by deer
179	Berberis sp.	Rarely Damaged by deer
180	Berberis vulgaris	Rarely Damaged by deer
181	Berberis x carminea	Rarely Damaged by deer
182	Berberis x lologensis	Rarely Damaged by deer
183	Berberis x stenophylla	Rarely Damaged by deer
184	Bergenia sp.	Seldom Severely Damaged by deer
185	Beta vulgaris flavescens	Seldom Severely Damaged by deer
186	Betula lutea	Seldom Severely Damaged by deer
187	Betula nigra	Rarely Damaged by deer
188	Betula papyrifera	Rarely Damaged by deer
189	Betula pendula	Seldom Severely Damaged by deer
190	Boltonia asteroides	Seldom Severely Damaged by deer
191	Borago officinalis	Seldom Severely Damaged by deer
192	Brassica juncea	Use a 5 year rotation to avoid Club Root and Root Maggots
193	Brassica Mustard	Use a 5 year rotation to avoid Club Root and Root Maggots
194	Brassica Mustard Greens	Use a 5 year rotation to avoid Club Root and Root Maggots
195	Brassica oleracea	Use a 5 year rotation to avoid Club Root and Root Maggots
196	Brassica oleracea botrytis	Use a 5 year rotation to avoid Club Root and Root Maggots
197	Brassica oleracea botrytis aparagoides	Use a 5 year rotation to avoid Club Root and Root Maggots, avoid earth hilling around crowns. Remedy: apply 1tsp wormwood tea three times daily around stem of plants.
198	Brassica oleracea capitata	Use a 5 year rotation to avoid Club Root and Root Maggots, avoid earth hilling around crowns. Remedy: apply 1tsp wormwood tea three times daily around stem of plants.
199	Brassica oleracea italica	Use a 5 year rotation to avoid Club Root and Root Maggots, cover or put tomatoe prunnigs or plants beside to avoid cabbage moth
200	Brassica oleracea palmifolia	Use a 5 year rotation to avoid Club Root and Root Maggots, cover or put tomatoe prunnigs or plants beside to avoid cabbage moth
201	Brassica oleracea ramosa	Use a 5 year rotation to avoid Club Root and Root Maggots, cover to avoid cabbage moth
202	Brassica oleracea viridis	Use a 5 year rotation to avoid Club Root and Root Maggots, cover to avoid cabbage moth
203	Brassica rapa	Use a 5 year rotation to avoid Club Root and Root Maggots
204	Brassica rapa	Use a 5 year rotation to avoid Club Root and Root Maggots. Avoid gall weevil by: cover beds in May when moon or sun are in Taurus. 
205	Brassicacea red cabbage	Use a 5 year rotation to avoid Club Root and Root Maggots, avoid earth hilling around crowns. Remedy: apply 1tsp wormwood tea three times daily around stem of plants.
206	Brugmansia sp. (Datura)	Rarely Damaged by deer
207	Bruneria macrophylla (Brunnera)	Rarely Damaged by deer
208	Buddleia sp.	Rarely Damaged by deer
209	Buxus sempervirens	Rarely Damaged by deer
210	Cactaceae sp.	Rarely Damaged by deer
211	Caladium sp.	Occasionally Severely Damaged by deer
212	Calamagrostis sp.	Rarely Damaged by deer
213	Calendula arvensis	Rarely Damaged by deer
214	Calendula officinalis	Rarely Damaged by deer
215	Calendula sp.	Rarely Damaged by deer
216	Callicarpa sp.	Seldom Severely Damaged by deer
217	Calliuna sp.	Rarely Damaged by deer
218	Calluna vulgaris	Rarely Damaged by deer
219	Calycanthus floridus	Seldom Severely Damaged by deer
220	Calycanthus occidentalis	Seldom Severely Damaged by deer
221	Camassia leichtlinii	Seldom Severely Damaged by deer
222	Campanula glomerata	Occasionally Severely Damaged by deer
223	Campanula medium	Occasionally Severely Damaged by deer
224	Campsis radicans	Occasionally Severely Damaged by deer
225	Canna edulis	Seldom Severely Damaged by deer
226	Canna indica	Seldom Severely Damaged by deer
227	Canna sp.	Seldom Severely Damaged by deer
228	Carex elata	Rarely Damaged by deer
229	Carex elata	Seldom Severely Damaged by deer
230	Carum carvi	Rarely Damaged by deer
231	Caryopteris clandonensis	Rarely Damaged by deer
232	Castanea dentata	Protect bark from wounds to avoid Chestnut blight fungus. Rabbits andf deer eat young bark.
233	Castanea mollissima	Protect bark from wounds to avoid Chestnut blight fungus. Rabbits andf deer eat young bark.
234	Castanea sativa	Protect bark from wounds to avoid Chestnut blight fungus. Rabbits andf deer eat young bark.
235	Catharanthus rosea	Rarely Damaged by deer
236	Cedrus atlantica	Occasionally Severely Damaged by deer
237	Celastrus scandens 	Seldom Severely Damaged by deer
238	Celosia sp.	Seldom Severely Damaged by deer
239	Centaurea cineraria	Rarely Damaged by deer
240	Centaurea cyanus	Seldom Severely Damaged by deer
241	Centaurea montana	Occasionally Severely Damaged by deer
242	Cephalotaxus harringtonia	Rarely Damaged by deer
243	Cerastium	Seldom Severely Damaged by deer
244	Ceratostigma plumbaginoides	Seldom Severely Damaged by deer
245	Cercidiphyllum japonicum	Rarely Damaged by deer
246	Cercis canadensis	Occasionally Severely Damaged by deer
247	Chaenomeles japonica	Seldom Severely Damaged by deer
248	Chaenomeles speciosa	Seldom Severely Damaged by deer
249	Chamaecyparis obtusa	Occasionally Severely Damaged by deer
250	Chamaecyparis pisifera	Seldom Severely Damaged by deer
251	Chamaecyparis thyoides	Occasionally Severely Damaged by deer
252	Chasmanthium latifolium 	Rarely Damaged by deer
253	Cheiranthus sp.	Seldom Severely Damaged by deer
254	Chelone sp. 	Occasionally Severely Damaged by deer
255	Chenopodium album	disease free!
256	Chenopodium bonus-henricus	disease free!
257	Chenopodium quinoa	disease free!
258	Chionanthus retusus	Seldom Severely Damaged by deer
259	Chionanthus virginicus	Occasionally Severely Damaged by deer
260	Chrysanthemum coronarium	Occasionally Severely Damaged by deer
261	Chrysanthemum segetum	Occasionally Severely Damaged by deer
262	Chrysosplenium alternifolium	Seldom Severely Damaged by deer
263	Cimcifuga sp.	Seldom Severely Damaged by deer
264	Clematis sp.	Occasionally Severely Damaged by deer
265	Cleome sp.	Rarely Damaged by deer
266	Clerodendrum fargesii	Seldom Severely Damaged by deer
267	Clethra sp.	Seldom Severely Damaged by deer
268	Colchicum sp.	Rarely Damaged by deer
269	Coleus sp.	Occasionally Severely Damaged by deer
270	Consolida ambigua	Rarely Damaged by deer
271	Convallaria majalis	Rarely Damaged by deer
272	Coreopsis lanceolata	Seldom Severely Damaged by deer
273	Coreopsis verticillata	Rarely Damaged by deer
274	Coriandrum sativum	Rarely Damaged by deer
275	Coriandrum sativum	Seldom Severely Damaged by deer
276	Cornus alternifolia	Occasionally Severely Damaged by deer
277	Cornus asperifolia drummondii	Seldom Severely Damaged by deer
278	Cornus controversa	Occasionally Severely Damaged by deer
279	Cornus florida	Occasionally Severely Damaged by deer
280	Cornus kousa	Seldom Severely Damaged by deer
281	Cornus mas	Occasionally Severely Damaged by deer
282	Cornus sanguinea	Occasionally Severely Damaged by deer
283	Cornus sericea	Seldom Severely Damaged by deer
284	Cortaderia selloana	Rarely Damaged by deer
285	Corydalis sp.	Rarely Damaged by deer
286	Corylopsis glabrescens	Occasionally Severely Damaged by deer
287	Corylus americana	Seldom Severely Damaged by deer
288	Corylus avellana	Seldom Severely Damaged by deer
289	Corylus avellana pontica	Seldom Severely Damaged by deer
290	Corylus chinensis	Seldom Severely Damaged by deer
291	Corylus colurna	Seldom Severely Damaged by deer
292	Corylus cornuta	Seldom Severely Damaged by deer
293	Corylus cornuta californica	Seldom Severely Damaged by deer
294	Corylus fargesii	Seldom Severely Damaged by deer
295	Corylus ferox	Seldom Severely Damaged by deer
296	Corylus heterophylla	Seldom Severely Damaged by deer
297	Corylus jacquemontii	Seldom Severely Damaged by deer
298	Corylus maxima	Seldom Severely Damaged by deer
299	Corylus sieboldiana mandschurica	Seldom Severely Damaged by deer
300	Corylus sp.	Seldom Severely Damaged by deer
301	Corylus tibetica	Seldom Severely Damaged by deer
302	Corylus x colurnoides	Seldom Severely Damaged by deer
303	Corylus x vilmorinii	Seldom Severely Damaged by deer
304	Cosmos sp.	Occasionally Severely Damaged by deer
305	Cotinus coggygria	Seldom Severely Damaged by deer
306	Cotoneaster apiculatus	Seldom Severely Damaged by deer
307	Cotoneaster congestus	Seldom Severely Damaged by deer
308	Cotoneaster dammeri	Seldom Severely Damaged by deer
309	Cotoneaster horizontalis	Seldom Severely Damaged by deer
310	Cotoneaster racemiflorus	Honey fungus
311	Cotoneaster salicifolius	Seldom Severely Damaged by deer
312	Crataegus laevigata	Seldom Severely Damaged by deer
313	Crocus nudiflorus	Seldom Severely Damaged by deer
314	Crocus sativus	Seldom Severely Damaged by deer
315	Crocus sp.	Seldom Severely Damaged by deer
316	Croscosmia sp.	Seldom Severely Damaged by deer
317	Cryptomeria japonica	Seldom Severely Damaged by deer
318	Cucurbita argyrosperma	Seldom Severely Damaged by deer
319	Cucurbita ficifolia	Seldom Severely Damaged by deer
320	Cucurbita foetidissima	Seldom Severely Damaged by deer
321	Cucurbita foetidissima	Seldom Severely Damaged by deer
322	Cucurbita maxima	Seldom Severely Damaged by deer
323	Cucurbita moschata	Seldom Severely Damaged by deer
324	Cucurbita pepo	Seldom Severely Damaged by deer
325	Cupressocyparis leyandii	Occasionally Severely Damaged by deer
326	Cyclamen sp.	Seldom Severely Damaged by deer
327	Cynara scolymus	Seldom Severely Damaged by deer
328	Cyrtomium falcatum	Rarely Damaged by deer
329	Cytisus scoparius	Rarely Damaged by deer
330	Cytisus sp.	Rarely Damaged by deer
331	Dahlia sp.	Occasionally Severely Damaged by deer
332	Daphne sp.	Rarely Damaged by deer
333	Delphinium sp.	Seldom Severely Damaged by deer
334	Dennstaedtia punctilobula	Rarely Damaged by deer
335	Deutzia sp.	Seldom Severely Damaged by deer
336	Dianthus barbatus	Seldom Severely Damaged by deer
337	Dianthus sp. 	Seldom Severely Damaged by deer
338	Dicentra eximia	Rarely Damaged by deer
339	Dicentra spectabilis	Rarely Damaged by deer
340	Dictamus alba	Seldom Severely Damaged by deer
341	Digitalis grandiflora	Seldom Severely Damaged by deer
342	Digitalis purpurea	Rarely Damaged by deer
343	Diospyros virginiana	Seldom Severely Damaged by deer
344	Dryopteris marginalis	Rarely Damaged by deer
345	Echinacea purpurea	Seldom Severely Damaged by deer
346	Echinops ritro	Rarely Damaged by deer
347	Elaeagnus angustifolia	Rarely Damaged by deer
348	Elaeagnus umbellata	Seldom Severely Damaged by deer
349	Endymion sp.	Rarely Damaged by deer
350	Enkianthus campanulatus	Seldom Severely Damaged by deer
351	Epimedium sp.	Rarely Damaged by deer
352	Eragrostus curvula	Rarely Damaged by deer
353	Eranthus hyemalis	Rarely Damaged by deer
354	Erianthus ravennae 	Rarely Damaged by deer
355	Erica sp.	Rarely Damaged by deer
356	Erigeron sp.	Occasionally Severely Damaged by deer
357	Eriobotrya japonica	Black leaf stems at end of branches= fire blight. Prune out 30cm with sterile tools.
358	Eryngium maritimum	Rarely Damaged by deer
359	Eryngium sp.	Frequently Severely Damaged by deer
360	Erysimum unknown	Use a 5 year rotation to avoid Club Root and Root Maggots
361	Erythronium	Seldom Severely Damaged by deer
362	Erythronium albidum	Seldom Severely Damaged by deer
363	Erythronium albidum mesochoreum	Seldom Severely Damaged by deer
364	Erythronium americanum	Seldom Severely Damaged by deer
365	Erythronium californicum	Seldom Severely Damaged by deer
366	Erythronium citrinum	Seldom Severely Damaged by deer
367	Erythronium dens-canis	Seldom Severely Damaged by deer
368	Erythronium grandiflorum	Seldom Severely Damaged by deer
369	Erythronium helenae	Seldom Severely Damaged by deer
370	Erythronium hendersonii	Seldom Severely Damaged by deer
371	Erythronium howellii	Seldom Severely Damaged by deer
372	Erythronium japonicum	Seldom Severely Damaged by deer
373	Erythronium montanum	Seldom Severely Damaged by deer
374	Erythronium multiscapoideum	Seldom Severely Damaged by deer
375	Erythronium oregonum	Seldom Severely Damaged by deer
376	Erythronium parviflorum	Seldom Severely Damaged by deer
377	Erythronium revolutum	Seldom Severely Damaged by deer
378	Erythronium tuolumnense	Seldom Severely Damaged by deer
379	Eschscholzia californica	Seldom Severely Damaged by deer
380	Euonymus alata	Occasionally Severely Damaged by deer
381	Euonymus fortunei	Frequently Severely Damaged by deer
382	Euonymus fortunei	Occasionally Severely Damaged by deer
383	Euonymus japonica	Occasionally Severely Damaged by deer
384	Eupatorium coelestinurn 	Seldom Severely Damaged by deer
385	Eupatorium rugosum 	Seldom Severely Damaged by deer
386	Euphorbia antisyphilitica	Rarely Damaged by deer
387	Euphorbia dulcis 'Chameleon'	Occasionally Severely Damaged by deer
388	Euphorbia marginata	Rarely Damaged by deer
389	Euphorbia sp. (except 'Chameleon')	Rarely Damaged by deer
390	Fagus sylvatica	Seldom Severely Damaged by deer
391	Fargesia nitida	Rarely Damaged by deer
392	Festuca glauca 	Rarely Damaged by deer
393	Ficus carica	Seldom Severely Damaged by deer
394	Filipendula sp.	Occasionally Severely Damaged by deer
395	Foeniculum vulgare	Rarely Damaged by deer
396	Forsythia x intermedia	Seldom Severely Damaged by deer
397	Fothergila sp.	Seldom Severely Damaged by deer
398	Fragaria daltoniana	Rarely Damaged by deer
399	Fragaria moschata	Rarely Damaged by deer
400	Fragaria nipponica	Rarely Damaged by deer
401	Fragaria orientalis	Rarely Damaged by deer
402	Fragaria vesca	Rarely Damaged by deer
403	Fragaria virginiana	Rarely Damaged by deer
404	Fragaria x ananassa	Rarely Damaged by deer
405	Fragraria sp.	Frequently Severely Damaged by deer
406	Fraximus pennsylvanica	Seldom Severely Damaged by deer
407	Fraxinus excelsior	Seldom Severely Damaged by deer
408	Fritilaria imperialis	Rarely Damaged by deer
409	Gaillardia sp. 	Occasionally Severely Damaged by deer
410	Galanthus nivalis	Rarely Damaged by deer
411	Galium odoratum	Rarely Damaged by deer
412	Galium odoratum (Asperula odorata)	Rarely Damaged by deer
413	Gaultheria procumbens	Seldom Severely Damaged by deer
414	Geranium clarkei 	Occasionally Severely Damaged by deer
415	Geranium endressii 	Frequently Severely Damaged by deer
416	Geranium incanum	Occasionally Severely Damaged by deer
417	Geranium macrorrhizum	Seldom Severely Damaged by deer
418	Gerbera jamesonii	Occasionally Severely Damaged by deer
419	Geum sp.	Occasionally Severely Damaged by deer
420	Ginkgo biloba	Rarely Damaged by deer
421	Gladiolus sp.	Seldom Severely Damaged by deer
422	Gleditsia triacanthos	Seldom Severely Damaged by deer
423	Gloriosa superba	Seldom Severely Damaged by deer
424	Glycine max	Damping off fungus, Pythium spp. Plant in warm. Thin plant for air circulation and avoid touching when wet. Flowers but no pods -zinc deficient-.
425	Gypsophila sp. 	Seldom Severely Damaged by deer
426	Hakonechloa macra	Rarely Damaged by deer
427	Halesia carolina	Seldom Severely Damaged by deer
428	Hamamelis virginiana	Seldom Severely Damaged by deer
429	Hedera helix	Occasionally Severely Damaged by deer
430	Helenium autumnale	Seldom Severely Damaged by deer
431	Helianthus sp. 	Occasionally Severely Damaged by deer
432	Helianthus tuberosus	Rarely Damaged by deer
433	Helichrysum	Rarely Damaged by deer
434	Helictotrichon sempervirens 	Rarely Damaged by deer
435	Heliotropium arborescens	Rarely Damaged by deer
436	Helleborus sp. 	Rarely Damaged by deer
437	Helwingia japonica	Occasionally Severely Damaged by deer
438	Hesperis matronalis	Rarely Damaged by deer
439	Heuchera sp. 	Seldom Severely Damaged by deer
440	Hibiscus moscheutos	Occasionally Severely Damaged by deer
441	Hibiscus syriacus	Seldom Severely Damaged by deer
442	Hippophae rhamnoides	Seldom Severely Damaged by deer
443	Hosta sp.	Frequently Severely Damaged by deer
444	Hyacinthus sp.	Seldom Severely Damaged by deer
445	Hydrangea anomala petiolaris	Occasionally Severely Damaged by deer
446	Hydrangea arborescens	Occasionally Severely Damaged by deer
447	Hydrangea macrophylla	Occasionally Severely Damaged by deer
448	Hydrangea paniculata	Occasionally Severely Damaged by deer
449	Hydrangea quercifolia	Occasionally Severely Damaged by deer
450	Hypericum calycinum	Seldom Severely Damaged by deer
451	Hypericum perforatum	Seldom Severely Damaged by deer
452	Hypericum prolificum	Seldom Severely Damaged by deer
453	Hyssopus officinalis	Rarely Damaged by deer
454	Hystrix patula	Seldom Severely Damaged by deer
455	Iberis sempervirens 	Seldom Severely Damaged by deer
456	Iberis umbellata	Seldom Severely Damaged by deer
457	Ilex aquifolium 	Seldom Severely Damaged by deer
458	Ilex cornuta	Seldom Severely Damaged by deer
459	Ilex crenata	Occasionally Severely Damaged by deer
460	Ilex glabra	Seldom Severely Damaged by deer
461	Ilex opaca	Rarely Damaged by deer
462	Ilex pernyi	Occasionally Severely Damaged by deer
463	Ilex verticillata	Seldom Severely Damaged by deer
464	Ilex x 'John T. Morris'	Rarely Damaged by deer
465	Ilex x 'Lydia Morris'	Rarely Damaged by deer
466	Ilex x 'Nellie R. Stevens'	Occasionally Severely Damaged by deer
467	Ilex x aquipernyi	Seldom Severely Damaged by deer
468	Ilex x meserveae	Occasionally Severely Damaged by deer
469	Impatiens balsamina	Occasionally Severely Damaged by deer
470	Impatiens walleriana	Occasionally Severely Damaged by deer
471	Imperata cylindrica	Rarely Damaged by deer
472	Ipomea sp.	Occasionally Severely Damaged by deer
473	Iris sp.	Rarely Damaged by deer
474	Itea virginica	Seldom Severely Damaged by deer
475	Jasminum nudiflorum	Seldom Severely Damaged by deer
476	Juglans nigra	Rarely Damaged by deer
477	Juncus effusus	Rarely Damaged by deer
478	Juniperus chinensis	Seldom Severely Damaged by deer
479	Juniperus chinensis	Seldom Severely Damaged by deer
480	Juniperus chinensis cv.	Seldom Severely Damaged by deer
481	Juniperus conferta	Occasionally Severely Damaged by deer
482	Juniperus horizontalis	Seldom Severely Damaged by deer
483	Juniperus horizontalis	Seldom Severely Damaged by deer
484	Juniperus horizontalis 'Prince of Wales'	Rarely Damaged by deer
485	Juniperus horizontalis 'Youngstown'	Seldom Severely Damaged by deer
486	Juniperus procumbens 'Nana'	Seldom Severely Damaged by deer
487	Juniperus sabina	Seldom Severely Damaged by deer
488	Juniperus scopulorum	Seldom Severely Damaged by deer
489	Juniperus scopulorum	Seldom Severely Damaged by deer
490	Juniperus scopulorum 'Moonglow'	Rarely Damaged by deer
491	Juniperus squamata	Seldom Severely Damaged by deer
492	Juniperus squamata 'Blue Star'	Seldom Severely Damaged by deer
493	Juniperus virginiana	Seldom Severely Damaged by deer
494	Kalmia latifolia	Occasionally Severely Damaged by deer
495	Kerria japonica	Seldom Severely Damaged by deer
496	Kirengeshoma palmata	Seldom Severely Damaged by deer
497	Kniphofia tritoma	Seldom Severely Damaged by deer
498	Koeleria glauca	Rarely Damaged by deer
499	Koelreuteria paniculata	Seldom Severely Damaged by deer
500	Kolkwitzia amabilis	Seldom Severely Damaged by deer
501	Lactuca sativa	Avoid blight by; watering away from foliage, abstain from hoeing when moon in perigee or leaf days “Thun” . Avoid wire worm especially where sod once was by trapping with potato pieces after they've been in soil 4 days.
502	Lagerstroemia indica	Seldom Severely Damaged by deer
503	Lamium album	Rarely Damaged by deer
504	Lamium amplexicaule	Rarely Damaged by deer
505	Lamium galeobdolon	Rarely Damaged by deer
506	Lamium purpureum	Rarely Damaged by deer
507	Lamium sp.	Rarely Damaged by deer
508	Lantana sp.	Seldom Severely Damaged by deer
509	Larix decidua	Occasionally Severely Damaged by deer
510	Laurelia sempervirens	Rarely Damaged by deer
511	Lavandula angustifolia	Rarely Damaged by deer
512	Lavandula dentata	Rarely Damaged by deer
513	Lavandula latifolia	Rarely Damaged by deer
514	Lavandula sp.	Rarely Damaged by deer
515	Lavandula stoechas	Rarely Damaged by deer
516	Lavandula x intermedia	Rarely Damaged by deer
517	Leucanthemum maximum 	Occasionally Severely Damaged by deer
518	Leucanthemum vulgare	Rarely Damaged by deer
519	Leucothoe axillaris	Seldom Severely Damaged by deer
