ID	Latin Name	Cultivar	Notes on cultivar	Synonyms	Pull out	Record checked	Last update
15	Amelanchier lamarckii	'Princess Diana'	The fruit is up to 10mm in diameter[183].A small, gracefully spreading tree[183].		0	0	1996-07-10 00:00
16	Amelanchier obovalis	'Jennybelle'	The fruit is up to 12mm in diameter and is sweet even before it is fully ripe. Plants fruit heavily and start to yield when young[183].Forms a small bush, to 3.5 metres tall, and produces few suckers so is easier to manage[183]. Plants are resistant to drought, frost and high temperatures[183].		0	0	1996-07-10 00:00
17	Amelanchier x grandiflora	''	No entries have been made for this species as yet.		0	0	
18	Amorpha fruticosa	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
19	Ampelopsis brevipedunculata	''	There are many named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
20	Anchusa azurea	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
21	Andromeda polifolia	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
22	Anemone nemorosa	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
23	Anethum graveolens	'Bouquet'	An American cultivar that has a prolific production of seeds[238].		0	0	28/9/96 0:00:00
24	Anthemis tinctoria	'Kelawayi'	This is the form most commonly cultivated as a dye plant and is the best form for this purpose[169].		0	0	26/1/97 0:00:00
25	Anthriscus cerefolium	''	No entries have been made for this species as yet.		0	0	
26	Antirrhinum majus	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
27	Apios americana	'LA85 Series'	There has been considerable research at Louisiana State University into the potential of this plant as a commercial root crop. There are several cultivars that might be released for trial soon (this entry is dated 1990)[183].		0	0	1996-03-10 00:00
28	Apium graveolens dulce	''	There are many named varieties of this annual vegetable, with new forms being developed each year. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.		0	0	1996-01-10 00:00
29	Apium graveolens rapaceum	''	No entries have been made for this species as yet.		0	0	
30	Apium graveolens secalinum	''	No entries have been made for this species as yet.		0	0	25/12/99 0:00:00
31	Aquilegia flabellata	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
32	Arabis caucasica	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
33	Arachis hypogaea	'Early Spanish'	The plant produces small, sweet kernels of fine quality and flavour[183]. The small, solid, well-filled kernels contain 2 - 3 seeds[183].An upright, compact, heavy-yielding plant, it is easy to grow and very early maturing, producing a crop in 105 days from seed[183]. It has cropped reliably as far north as Canada[183], and does therefore have some potential in Britain[K].		0	0	22/10/96 0:00:00
34	Arachis hypogaea	'Spanish'	The well-filled pods contain 2 - 3 small, sweet, reddish-brown kernels[183].Of compact, upright growth habit, it is rapid-growing and heavy bearing[183]. It matures a crop in 110 days from sowing and crops in Canada if grown in a light sandy soil with southern exposure[183]. It does therefore have some potential in Britain[K].		0	0	22/10/96 0:00:00
35	Aralia elata	''	No entries have been made for this species as yet.		0	0	
36	Arbutus unedo	'Compacta'	A dwarf cultivar, it is said not to flower very freely[11].		0	0	13/1/98 0:00:00
37	Abelmoschus esculentus	'Annie Oakley'	The slender, five-angled pods are light green in colour and 18 - 22cm long[183]. They are spineless and remain tender as they grow to a large size[183].An F1 hybrid, it ripens earlier than open-pollinated cultivars and can therefore succeed in cooler climates, though it is still more suited to protected cultivation in Britain[183, K]. The plants are compact, uniform and heavy yielding, reaching a height of about 1 metre[183]. A harvest can be produced within 45 days from sowing the seed[183].		0	0	22/10/96 0:00:00
38	Abelmoschus esculentus	'Blondy'	The spineless, ribbed pods are an attractive creamy-lime in colour[183]. They are best picked when about 8cm long and are crisp and firm yet tender and not stringy[183].A short-season cultivar for cooler regions, it can produce a crop within 48 days from sowing and has performed well in trials as far north as Canada[183]. The short, compact plants are up to 90cm tall and are very productive[183].		0	0	22/10/96 0:00:00
39	Abelmoschus esculentus	'Burgundy'	Growing about 1 metre tall with pods up to 20cm long[264]. It tolerates cooler weather than many other cultivars, though still requires warmer temperatures than are usually experienced in Beitish summers.		0	0	2000-03-02 00:00
40	Abelmoschus esculentus	'Cajun Queen'	The bright, spineless, tapered pods are about 12cm long with 6 well-defined ridges[183]. They have an intense flavour and a rich colour, so do not fade into the background when cooked in stews etc[183].An early, productive, very hardy cultivar, it grows up to 1 metre tall and can produce a crop within 50 days from sowing the seed[183].		0	0	22/10/96 0:00:00
41	Abelmoschus esculentus	'Clemson's Spineless'	An early-maturing variety that is more tolerant of cooler temperate conditions, it is worthwhile trying it outdoors in Britain[200].		0	0	26/1/97 0:00:00
42	Abelmoschus esculentus	'Dwarf Green Longpod'	Plants are up to 90cm tall with pods to 20cm[264]. A fast-maturing plant, it can crop within 50 days from seed[264].		0	0	2000-03-02 00:00
43	Abelmoschus esculentus	'Emerald Spineless'	An early-maturing variety that is more tolerant of cooler temperate conditions, it is worthwhile trying it outdoors in Britain[200].		0	0	26/1/97 0:00:00
44	Abelmoschus esculentus	'Green Velvet'	An early-maturing variety that is more tolerant of cooler temperate conditions, it is worthwhile trying it outdoors in Britain[200].		0	0	26/1/97 0:00:00
45	Abelmoschus esculentus	'Long Green'	An early-maturing variety that is more tolerant of cooler temperate conditions, it is worthwhile trying it outdoors in Britain[200].		0	0	26/1/97 0:00:00
46	Abelmoschus esculentus	'Pentagreen'	The five-angled, slightly spiny pods are medium-green in colour and up to 15cm long, though for best quality they should be harvested when about half that size[183].An early and high-yielding cultivar, producing sturdy, compact plants from 45 - 75cm tall[183]. They are very productive, even in areas usually considered too cool for okras[183]. They can produce a crop within 55 days from sowing the seed[183].		0	0	22/10/96 0:00:00
47	Abelmoschus moschatus	''	No entries have been made for this species as yet.		0	0	
48	Abies alba	''	There are many named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
49	Abies balsamea	''	There are many named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
50	Abies fraseri	''	There are many named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
51	Abutilon species	'Canary Bird'	A very free-flowering form with larger, more open flowers than most cultivars. The flavour is pleasant but not as sweet as some forms[K].		0	0	14/12/99 0:00:00
52	Abutilon species	'Hinton Seedling'	A free-flowering form with sweet flavoured flowers[K].		0	0	14/12/99 0:00:00
53	Abutilon megapotamicum	''	No entries have been made for this species as yet.		0	0	
54	Abutilon pictum	'Thompsonii'	A cultivar with golden-spotted variegated leaves, the flowers are deliciously sweet. The variegation is caused by virus infection and can spread to other plants[260].		0	0	14/12/99 0:00:00
55	Abutilon vitifolium	'Album'	A white-flowered form, it flowers prolifically and has a pleasant mild-flavour[K].		0	0	28/9/96 0:00:00
56	Abutilon x milleri	'Variegatum'	A variegated form with yellow-spotted leaves[260].		0	0	14/12/99 0:00:00
57	Abutilon x suntense	''	No entries have been made for this species as yet.		0	0	
58	Acacia dealbata	'Kambah Karpet'	A prostrate ground-covering form[260].		0	0	16/12/99 0:00:00
59	Acacia dealbata	'Mirandole'	Said to be the hardiest form of this species[260].		0	0	16/12/99 0:00:00
60	Acacia decurrens	'Mollis'	This form is notably resistant to the disease honey fungus[200].		0	0	26/1/97 0:00:00
61	Acca sellowiana	'Gemini'	The fruit is small to medium, egg-shaped with a very smooth, thin dark-green skin with a heavy bloom[183]. The flavour and texture are excellent[183]. An early ripening cultivar, maturing its fruit in early autumn in California[183].An upright, spreading, moderately vigorous tree reaching 2.5 metres in height[183]. It is high-yielding, but only partially self-fertile and requires cross-pollination for best yields[183]. 'Apollo' is a good pollinator[183].		0	0	18/10/96 0:00:00
62	Acca sellowiana	'Mammoth'	The large, round to oval fruit can weigh up to 230 grammes[183]. The skin is somewhat wrinkled, the flesh thick and somewhat gritty with a very good flavour and quality[183]. It matures early to mid season[183].An upright, strong-growing tree to 3 metres tall, it is self-fertile but bears larger fruit if cross-pollinated[183].		0	0	19/10/96 0:00:00
63	Acca sellowiana	'Robert'	Medium-size, very uniform oval fruits, the flesh is very juicy but somewhat gritty, the flavour is mild[183]. A very early ripening cultivar, maturing its fruit up to 2 months earlier than most other cultivars[183].A heavy-cropping tree once well established, it develops undesireable russet leaves[183]. If not cross-pollinated abundantly, it produces hollow fruit which cannot be distinguished externally from good fruits[183].		0	0	19/10/96 0:00:00
64	Acca sellowiana	'Smith'	This cultivar produces reliable and abundant crops of medium to large fruits in the Pacific Northwest[183] and so might be suitable for the mild areas of Britain[K].		0	0	18/10/96 0:00:00
65	Acca sellowiana	'Unique'	A large, oval fruit with a smooth light-green skin, the flesh is very smooth in texture, the flavour good[183]. An early ripening form, it is excellent as a fresh dessert fruit, and also for canning[183].A vigorous upright, spreading tree to 2.5 metres tall, it is self-fertile and precocious, bearing regularly and heavily[183].		0	0	19/10/96 0:00:00
66	Acer circinatum	''	There are many named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
67	Acer ginnala	''	There are many named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
68	Acer negundo	''	There are many named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
69	Acer palmatum	''	There are many named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
70	Acer platanoides	''	There are many named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
71	Acer pseudoplatanus	''	There are many named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
72	Acer rubrum	''	There are many named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
73	Acer saccharum	''	No entries have been made for this species as yet.		0	0	
74	Achillea ageratum	''	No entries have been made for this species as yet.		0	0	
75	Achillea millefolium	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
76	Achillea ptarmica	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
77	Aconitum carmichaelii	''	There are some named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
78	Acorus calamus	''	No entries have been made for this species as yet.		0	0	
79	Acorus gramineus	'Pusillus'	This cultivar succeeds as a submerged aquatic plant[238].		0	0	26/1/97 0:00:00
80	Actinidia arguta	'Ananasnaja'	A medium-size fruit, 4cm long and 2œcm in diameter[183]. Juicy and sweet with a distinct pineapple-like aroma and flavour[183].Possibly a hybrid with A. kolomikta, it is a reliable bearer that often produces fruit in bunches like grapes[183]. A very hardy plant, tolerating temperatures down to -35°c when fully dormant[183].		0	0	20/10/96 0:00:00
81	Actinidia arguta	'Issai'	A long fruit, up to 4cm in diameter, it is sweet with a good flavour and high quality[183]. The fruit is seedless when it is not pollinated[183].This cultivar can produce fruits in the absence of a male pollinator, often in the first year after grafting, but yields will be increased if the plant is pollinated[183].		0	0	27/9/94 0:00:00
82	Actinidia arguta	'Langer'	Bears medium-size fruit of fine quality[183].The original plant is from a homestead high in the Cascade Mountains where it had to endure summer droughts, deep snow, severe cold and wind, and other adverse conditions[183].	'Hood River'	0	0	20/10/96 0:00:00
83	Actinidia arguta cordifolia	''	No entries have been made for this species as yet.		0	0	
84	Actinidia callosa	''	No entries have been made for this species as yet.		0	0	
85	Actinidia deliciosa	'Abbot'	A small to medium-size fruit, the skin has especially dense long hairs[183]. Well-flavoured[183]. The fruits are small unless they are well-thinned[183].A vigorous, early-flowering, productive vine, cropping heavily whilst still young[183].		0	0	20/10/96 0:00:00
86	Actinidia deliciosa	'Blake'	A relatively small fruit, it tends to taper near the blossom end[183]. Ripening 6 - 8 weeks earlier than 'Hayward', it therefore considerably extends the fruiting season[183].A precocious and productive plant, it can produce a crop in as little as 1 year after being grafted[183]. It flowers very early and is said to be self-fertile[183].		0	0	20/10/96 0:00:00
87	Actinidia deliciosa	'Hayward'	A very large fruit, of superior flavour[183]. It stores longer than most cultivars[183].This cultivar is the most commonly cultivated form in Britain (1993), its fruits store well but it tends to flower very late[183] and there can be problems with pollination.		0	0	20/10/96 0:00:00
88	Actinidia deliciosa	'Janine'	A hermaphrodite form, therefore it does not require a male plant for fertilization. We do not as yet have any information on fruit quality.		0	0	22/9/99 0:00:00
89	Actinidia deliciosa	'Saanichton 12'	The fruit is large and sweet[183].This cultivar has grown well on Vancouver Island, Canada, for several years, it is not harmed by winter temperatures that have damaged other cultivars[183]. Recommended for garden use, it is also being investigated as a possible commercial cultivar[183].		0	0	20/10/96 0:00:00
90	Actinidia deliciosa	'Tomuri'	A late-flowering male form, it has been selected as a pollinator for 'Heywood'[183].		0	0	27/9/94 0:00:00
91	Actinidia deliciosa	'Yellow Mountains'	A form from the Yellow Mountains of China, it has relatively small fruit of excellent eating quality[183].Being tested in North Carolina(1993), it has the potential of fruiting more successfully in cooler climates than standard cultivars[183].		0	0	20/10/96 0:00:00
92	Actinidia kolomikta	'Aromatnaya'	A medium-size fruit, the sugar content is around 20% when fully ripe, vitamin C content is medium-high and the fruit ripens in late summer[183].A productive plant[183].		0	0	20/10/96 0:00:00
93	Actinidia kolomikta	'Krupnopladnaya'	A very large, smooth-skinned fruit, the sugar content is around 14% when fully ripe, it is high in vitamin C and has an excellent flavour[183].A moderately vigorous, very productive plant, it is very ornamental and has withstood temperatures down to at least -38°c[183].	'Krupnaya Michurinskaya' 'Large Fruited' 'Michurin's Large'	0	0	20/10/96 0:00:00
94	Actinidia melanandra	''	No entries have been made for this species as yet.		0	0	
95	Actinidia polygama	'418-77'	A very vigorous grower, this cultivar is said to be self-fertile[183].		0	0	30/9/96 0:00:00
96	Actinidia purpurea	''	No entries have been made for this species as yet.		0	0	
97	Actinidia x fairchildii	''	No entries have been made for this species as yet.		0	0	
98	Aegopodium podagraria	''	No entries have been made for this species as yet.		0	0	
99	Aesculus pavia	''	No entries have been made for this species as yet.		0	0	
100	Aesculus x carnea	''	There are many named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
101	Agapanthus campanulatus	''	There are many named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
102	Agastache foeniculum	'Texas American'	This form has an anise-pennyroyal fragrance and is used in a similar way to the species[183].		0	0	1996-03-10 00:00
103	Agrimonia eupatoria	'Sweet Scented'	This cultivar is popular in France for making tea because the whole plant is sweetly scented and the flowers have a spicy apricot-like fragrance[183].		0	0	28/9/96 0:00:00
104	Agropyron elongatum	'Alkar'	Developed in Washington, USA, in 1959, this cultivar has been used to reclaim large areas of saline and alkaline lands[269].		0	0	2000-11-05 00:00
105	Agropyron elongatum	'Orbit'	Developed in 1966 for use in Canada, this is a winter-hardy form that is adapted to wet saline soils in all parts of Canada[269].		0	0	2000-11-05 00:00
106	Ajuga reptans	''	No entries have been made for this species as yet.		0	0	
107	Albizia julibrissin	'Rosea'	A hardier and more compact form of the species, it succeeds in the drier parts of the country if given some protection[11].		0	0	26/1/97 0:00:00
108	Alcea rosea	''	There are many named forms for this species, but these have been developed for their ornamental value and not for their other uses. Unless you particularly require the special characteristics of any of these cultivars, we would generally recommend that you grow the natural species for its useful properties. We have, therefore, not listed the cultivars in this database[K].		0	0	1996-03-10 00:00
109	Aleurites fordii	'Cahl'	A low-heading, very productive tree. The large fruits contain about 20% oil[269].The plant matures early and is somewhat resistant to cold in the autumn[269].		0	0	14/5/00 0:00:00
110	Aleurites fordii	'Folsom'	A low-heading, highly productive tree. The fruits are large, late maturing, turning purplish when mature. They contain 21% oil. This cultivar has the highest resistance to low temperature in autumn[269].		0	0	14/5/00 0:00:00
111	Aleurites fordii	'Isabel'	A low-heading, highly productive tree. The large fruits mature early and contain about 22% oil[269].		0	0	14/5/00 0:00:00
112	Aleurites fordii	'La Crosser'	A high-heading, exceptionally productive tree. The fruits are small and late maturing, tending to break segments if not harvested promptly. A very popular variety, the fruit contains 21 - 14% oil[269].		0	0	14/5/00 0:00:00
113	Aleurites fordii	'Lampton'	This form outyields all other varieties. A very low-heading tree with large, early maturing fruits that have about 22% oil content[269].		0	0	14/5/00 0:00:00
114	Allium ampeloprasum	'Elephant Garlic'	This cultivar has very large bulbs, made up of about 4 cloves and weighing up to 500g, with a mild garlic flavour[183]. They can be eaten raw or cooked[K].		0	0	
115	Allium ampeloprasum	'Perizwiebel'	This cultivar produces bulbils on its flowering stems instead of seeds. The bulbils are larger than normal and are much used for pickling in parts of Europe[183]. The bulbils are solid instead of being make up of concentric layers[183].		0	0	
116	Allium cepa	''	There are many named varieties of this annual vegetable, with new forms being developed each year. At present there is not time to enter these in the database and it is recommended that you consult the book 'The Fruit and Vegetable Finder' which is updated regularly and can be obtained from libraries.A few truly perennial forms have been entered and are listed on the following pages.		0	0	1996-01-10 00:00
117	Allium cepa	'Perutile'	This is a genuinely perennial form of A. cepa that rarely flowers, increasing mainly by division in much the same way as chives[50]. It is occasionally cultivated for its edible leaves. Plants usually produce fresh growth throughout the winter making this an ideal winter salad plant[K].Bulb - raw or cooked. A nice onion flavour but rather small[K]Leaves - raw or cooked. A delicious taste, somewhat like spring onions[K]. The leaves are finer in texture and milder than the Welsh onion and are used in salads or added as a flavouring in cooked foods[183].Flowers - raw. This plant rarely flowers.		0	0	
118	Allium cepa aggregatum	'Potato Onion'	Each large bulb divides under the ground to form 8 - 12 smaller ones about 20mm in diameter - when planted these will each produce 1 - 2 larger bulbs up to 10cm in diameter in the following year[183]. Slightly more pungent than normal onoins, they can also be left in the ground for mild cooking onions later in the season[183].	'Multiplier Onion'	0	0	22/10/96 0:00:00
119	Allium cepa aggregatum	'Red Potato Onion'	The medium-size bulbs have a pale-pink flesh and are up to 10cm in diameter, they are flavourful, yet not strong, and keep very well for up to 12 months[183].A very hardy plant[183].		0	0	22/10/96 0:00:00
120	Allium cepa aggregatum	'White Potato Onion'	Similar to other potato onions, but producing smaller bulbs to 25mm in diameter[183]. It divides underground to form clusters of up to 15 bulbs[183]. The flavour becomes stronger in hot weather[183]. The plants are used as bunching onions in the spring and autumn, or the bulbs can be prepared like pearl onions[183].	'White Multiplier Onion'	0	0	22/10/96 0:00:00
121	Allium cepa aggregatum	'Yelow Potato Onion'	The medium-size bulbs are up to 10cm in diameter, they are flavourful, yet not strong, and keep well for 8 - 12 months[183].A widely adapted, hardy plant, it is resistant to drought and pink root[183].		0	0	22/10/96 0:00:00
122	Allium cepa ascalonicum	'Bavarian Brown'	The bulbs average 4cm in diameter and can be up to 6cm when well grown[183]. They are mildly pungent, flavourful and have a yellow flesh[183]. Excellent keeping qualities[183].	'Brown'	0	0	22/10/96 0:00:00
123	Allium cepa ascalonicum	'Dutch Yellow'	The bulbs average 4cm in diameter, 5cm when well grown, they have a yellow to cream coloured flesh and keep very well[183].A high yielding cultivar, each bulb growing into a cluster of 8 - 12 shallots[183]. Widely adapted to different climate zones, but is best planted in the spring in areas with cold winters[183].	'Yellow'	0	0	22/10/96 0:00:00
124	Allium cepa ascalonicum	'French Red'	A pale purple-pink flesh with a mild, distinctive flavour[183].A prolific cultivar, each bulb producing a cluster of up to 30 bulbs[183]. Widely adapted to various climatic zones, but it does not store as well as other cultivars[183].	'Red'	0	0	22/10/96 0:00:00
125	Allium cepa ascalonicum	'Giant Red'	The bulbs have a mild, spicy flavour and are excellent raw in salads[183]. They store well and rarely if ever bolt[183].A highly productive cultivar, each bulb producing a cluster of 10 - 20 bulbs[183]. It starts to sprout earlier than the yellow forms[183].		0	0	22/10/96 0:00:00
126	Allium cepa ascalonicum	'Grey'	A large, elongated bulb about 10cm long with a purple-white flesh and a strong, distinctive flavour[183].A prolific cultivar, each bulb forming a cluster of about 20 bulbs, though they do not store well[183]. In France the grey shallots are considered to be the best of all shallots and bring premium prices[183].		0	0	22/10/96 0:00:00
127	Allium cepa ascalonicum	'Tohono O'odham I'Itoi's'	This cultivar has a strong, distinct flavour and produces offshoot scallions for most of the year, even when other onions go dormant[183].Adapted to both high and low desert areas[183].		0	0	22/10/96 0:00:00
128	Allium cepa proliferum	'Catawissa'	A very hardy cultivar of Canadian origin, distinguished by its vigorous growth and the rapidity with which the bulbils commence to grow without being detached from the top of the stem[183]. The bulbils divide into tiers, the second set of bulbils producing green shoots, leaves or barren stems to bring the height of the plant to over 75cm[183].	'Catawissa Onion'	0	0	22/10/96 0:00:00
129	Allium cepa proliferum	'McCullar's White Topset'	This form produces a number of white bulbs below the ground about 25cm or more in diameter, plus pea-sized bulbils at the top of the flower stalk[183]. The larger bulbs are used for eating, the bulbils are used for replanting[183]. It is used primarily as a source of greens when other onions are dormant[183].		0	0	22/10/96 0:00:00
130	Allium cepa proliferum	'Moritz Egyptian'	Similar to the typical tree onion, but the bulbs are a deeper colour (red-purple) and the topsets are slightly larger than most strains[183]. An unusual strain that will sometimes produce sets in the middle of the stalk[183].		0	0	22/10/96 0:00:00
131	Allium cepa proliferum	'Norris Egyptian'	This cultivar is less pungent and more productive than other strains[183].		0	0	22/10/96 0:00:00
132	Allium cernuum	'Major'	This is a more vigorous form with larger flower clusters[90].		0	0	28/9/96 0:00:00
133	Allium fistulosum	'Evergreen White Bunching'	A long, slender stalk, 10 - 22cm to the first leaf[183]. A tender and mildly pungent flavour, the plants produce little or no bulbs[183].An extremely winter-hardy plant, it is resistant to thrips, smut and pink root[183].	'Evergreen Hardy Long White' 'Nebuka'	0	0	22/10/96 0:00:00
134	Allium fistulosum	'Red Welsh'	An old form of the perennial bunching onion, it is similar to the true Welsh onion[183]. It grows in clusters of 2 - 3 stalks, each stalk to 35cm long and coppery-red in colour[183].The leaves are light-green in colour and have a strong flavour[183].	'Early Red' 'Ciboule Commune Rouge'	0	0	22/10/96 0:00:00
135	Allium moly	''	No entries have been made for this species as yet.		0	0	
136	Allium neapolitanum	'Grandiflorum'	This form has a richer display of flowers than the type species[233].		0	0	1996-03-10 00:00
